league,team,Total,pick,pfref_id,FantPos
ti7ip7kd,team_7,98.90027652011669,74.0,EvanMi00,WR
ti7ip7kd,team_7,98.90027652011669,87.0,HerbKh00,RB
ti7ip7kd,team_7,98.90027652011669,94.0,FreiPa00,TE
ti7ip7kd,team_7,98.90027652011669,107.0,JoneDa05,QB
ti7ip7kd,team_7,98.90027652011669,114.0,SmitGe00,QB
ti7ip7kd,team_7,98.90027652011669,127.0,ThieAd00,WR
ti7ip7kd,team_7,98.90027652011669,134.0,ForeDO00,RB
ti7ip7kd,team_8,93.95618780022598,8.0,BarkSa00,RB
ti7ip7kd,team_8,93.95618780022598,13.0,HenrDe00,RB
ti7ip7kd,team_8,93.95618780022598,28.0,HiggTe00,WR
ti7ip7kd,team_8,93.95618780022598,33.0,HockTJ00,TE
ti7ip7kd,team_8,93.95618780022598,48.0,FielJu00,QB
ti7ip7kd,team_8,93.95618780022598,53.0,LondDr00,WR
ti7ip7kd,team_8,93.95618780022598,68.0,ConnJa00,RB
ti7ip7kd,team_8,93.95618780022598,73.0,PachIs00,RB
ti7ip7kd,team_8,93.95618780022598,88.0,DillAJ00,RB
ti7ip7kd,team_8,93.95618780022598,93.0,SmitJa06,WR
ti7ip7kd,team_8,93.95618780022598,108.0,MoorSk01,WR
ti7ip7kd,team_8,93.95618780022598,113.0,PennRa00,RB
ti7ip7kd,team_8,93.95618780022598,128.0,MostRa00,RB
ti7ip7kd,team_8,93.95618780022598,133.0,KmetCo00,TE
ti7ip7kd,team_9,92.38560469419504,9.0,KuppCo00,WR
